title,price,link
"Samsung Galaxy Book4 360 (Gray, 16GB RAM, 1TB SSD)| 15.6"" Super AMOLED TouchScreen| Intel Core 7 150U Processor| 2 in 1 Laptop| Windows 11 Home| MS Office 2021| Fingerprint Reader| S-Pen Included  ","1,38,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MTczMDcxMjM2MzQxNzkzOjE3MjU4MDE0NTM6c3BfYXRmOjMwMDMyNTc3ODk1MjAzMjo6MDo6&url=%2FSamsung-TouchScreen-Processor-Fingerprint-Included%2Fdp%2FB0CVKZ56J6%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3LH7JI920TH09%26dib%3DeyJ2IjoiMSJ9.x3KR7kFVi3QYHRnwbXLX5Dc3clA4-erO1VaCgJE42LpUphSgxH2HIqEAjIbfvzgweI-IDq1GXAx4j2Beziwd1B1eNZtnsXOZUSyFAU8ERU9rTkJY_1oOh-6Lzj7QKmONMFZv73k3rYtkuSx5h4CyozkPDjaDJhCWRO3NznQi1ARIAvT9R1u83GmAmM89pEkvNV6aOA4LALbGUpD0s5SGFdDcSSo4jQdy69Lc9DmupG4.eRCZMjkVOc8JfipExLASIRtwOHZqwOUJZlOJltQrF0Q%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725801453%26sprefix%3Dlapt%252Cspecialty-aps%252C243%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Samsung Galaxy Book4 Pro | Intel Evo Core Ultra 7 155H | Built-in AI | 14"" (35.56cm) Touchscreen Dynamic AMOLED 2X 120Hz| 500 Nits (16GB/512GB SSD/Intel Arc/Win11/MSO'21/Gray/1.23kg)  ","1,36,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MTczMDcxMjM2MzQxNzkzOjE3MjU4MDE0NTM6c3BfYXRmOjMwMDMyNTc3ODk1MjczMjo6MDo6&url=%2FSamsung-Galaxy-35-56cm-Touchscreen-Dynamic%2Fdp%2FB0CVL35R45%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3LH7JI920TH09%26dib%3DeyJ2IjoiMSJ9.x3KR7kFVi3QYHRnwbXLX5Dc3clA4-erO1VaCgJE42LpUphSgxH2HIqEAjIbfvzgweI-IDq1GXAx4j2Beziwd1B1eNZtnsXOZUSyFAU8ERU9rTkJY_1oOh-6Lzj7QKmONMFZv73k3rYtkuSx5h4CyozkPDjaDJhCWRO3NznQi1ARIAvT9R1u83GmAmM89pEkvNV6aOA4LALbGUpD0s5SGFdDcSSo4jQdy69Lc9DmupG4.eRCZMjkVOc8JfipExLASIRtwOHZqwOUJZlOJltQrF0Q%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725801453%26sprefix%3Dlapt%252Cspecialty-aps%252C243%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Lenovo S14 Intel Core I5 12th Gen 14"" (35.56 cm) FHD IPS (1920x1080) Antiglare 300Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Pro/Backlit/Cloud Grey/1.5 kg/3Y Premium Care), 82TW001DIH  ","48,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MTczMDcxMjM2MzQxNzkzOjE3MjU4MDE0NTM6c3BfbXRmOjMwMDA2MTc1OTAzNzczMjo6MDo6&url=%2FLenovo-1920x1080-Antiglare-300Nits-82TW001DIH%2Fdp%2FB0CH8D6F4N%2Fref%3Dsr_1_11_sspa%3Fcrid%3D3LH7JI920TH09%26dib%3DeyJ2IjoiMSJ9.x3KR7kFVi3QYHRnwbXLX5Dc3clA4-erO1VaCgJE42LpUphSgxH2HIqEAjIbfvzgweI-IDq1GXAx4j2Beziwd1B1eNZtnsXOZUSyFAU8ERU9rTkJY_1oOh-6Lzj7QKmONMFZv73k3rYtkuSx5h4CyozkPDjaDJhCWRO3NznQi1ARIAvT9R1u83GmAmM89pEkvNV6aOA4LALbGUpD0s5SGFdDcSSo4jQdy69Lc9DmupG4.eRCZMjkVOc8JfipExLASIRtwOHZqwOUJZlOJltQrF0Q%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725801453%26sprefix%3Dlapt%252Cspecialty-aps%252C243%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray  ","43,990",https://amazon.in//MagicBook-i5-12450H-Anti-Glare-Full-Size-Keyboard/dp/B0CRQB4HBP/ref=sr_1_77?crid=3LH7JI920TH09&dib=eyJ2IjoiMSJ9.OiMtNa75bH7cBxE3b9xBWvwJgshmlIJmyzquGkyg8pskscmVMONJe8XJftJMv4mcM9f19i-04HC6xBmf00GQHHp4Yn2YVvz9VNUI7YP11B_UY9eQstqQ4Fcv8rQcVCeCjBAQYhXxUTICztr4Nx0xJkXQvghLlWlO90dhNAhO6NYVSE0bgbF8E4_580XPav__-qvcabWDfjQpOy8M-p83Exq1TLwB_6fQk3tIMZsla7s.2jpRztcf7RR5vQZfiZJpR_QZUphoLlC68XJb7SLR4OI&dib_tag=se&keywords=laptop&qid=1725801825&sprefix=lapt%2Cspecialty-aps%2C243&sr=8-77
"ASUS Vivobook 16 (2023)Thin & Light Laptop,Intel Core i9-13900H 13th Gen, 16"" (40.64 cm) FHD+(16GB RAM/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Black/1.88 kg) X1605VA-MB947WS  ","94,990",https://amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB947WS/dp/B0CHMZRC89/ref=sr_1_78?crid=3LH7JI920TH09&dib=eyJ2IjoiMSJ9.OiMtNa75bH7cBxE3b9xBWvwJgshmlIJmyzquGkyg8pskscmVMONJe8XJftJMv4mcM9f19i-04HC6xBmf00GQHHp4Yn2YVvz9VNUI7YP11B_UY9eQstqQ4Fcv8rQcVCeCjBAQYhXxUTICztr4Nx0xJkXQvghLlWlO90dhNAhO6NYVSE0bgbF8E4_580XPav__-qvcabWDfjQpOy8M-p83Exq1TLwB_6fQk3tIMZsla7s.2jpRztcf7RR5vQZfiZJpR_QZUphoLlC68XJb7SLR4OI&dib_tag=se&keywords=laptop&qid=1725801825&sprefix=lapt%2Cspecialty-aps%2C243&sr=8-78
"Dell Inspiron 5430 Laptop, 13th Gen Intel Core i5-1335U Processor/16GB/1TB SSD/14.0"" (35.56CM) FHD+ WVA 250 nits/Backlit KB + FPR/Win 11+MSO'21/15 Month McAfee/Platinum Silver/Thin & Light- 1.59KG  ","72,890",https://amazon.in//Dell-Inspiron-5430-i5-1335U-Processor/dp/B0CBC9HLLC/ref=sr_1_79?crid=3LH7JI920TH09&dib=eyJ2IjoiMSJ9.OiMtNa75bH7cBxE3b9xBWvwJgshmlIJmyzquGkyg8pskscmVMONJe8XJftJMv4mcM9f19i-04HC6xBmf00GQHHp4Yn2YVvz9VNUI7YP11B_UY9eQstqQ4Fcv8rQcVCeCjBAQYhXxUTICztr4Nx0xJkXQvghLlWlO90dhNAhO6NYVSE0bgbF8E4_580XPav__-qvcabWDfjQpOy8M-p83Exq1TLwB_6fQk3tIMZsla7s.2jpRztcf7RR5vQZfiZJpR_QZUphoLlC68XJb7SLR4OI&dib_tag=se&keywords=laptop&qid=1725801825&sprefix=lapt%2Cspecialty-aps%2C243&sr=8-79
"Acer Travelmate Business Laptop Intel Core i5-1135G7 processor (16GB DDR4/ 512GB SSD/Intel Iris Xe Graphics/Windows 11 Home) TMP214-53 with 35.56 cm (14"") Full HD Display  ","36,990",https://amazon.in//Acer-Travelmate-i5-1135G7-Processor-TMP214-53/dp/B0CKLTD48T/ref=sr_1_80?crid=3LH7JI920TH09&dib=eyJ2IjoiMSJ9.OiMtNa75bH7cBxE3b9xBWvwJgshmlIJmyzquGkyg8pskscmVMONJe8XJftJMv4mcM9f19i-04HC6xBmf00GQHHp4Yn2YVvz9VNUI7YP11B_UY9eQstqQ4Fcv8rQcVCeCjBAQYhXxUTICztr4Nx0xJkXQvghLlWlO90dhNAhO6NYVSE0bgbF8E4_580XPav__-qvcabWDfjQpOy8M-p83Exq1TLwB_6fQk3tIMZsla7s.2jpRztcf7RR5vQZfiZJpR_QZUphoLlC68XJb7SLR4OI&dib_tag=se&keywords=laptop&qid=1725801825&sprefix=lapt%2Cspecialty-aps%2C243&sr=8-80
"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.56cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Win11/MSO 21/FHD+IR Camera/1Yr ADP Free/3 Mon Game Pass/Grey/1.4Kg), 83D2001GIN  ","1,09,990",https://amazon.in//Lenovo-IdeaPad-35-56cm-2-8K-OLED-83D2001GIN/dp/B0CY2LDT1S/ref=sr_1_81?crid=3LH7JI920TH09&dib=eyJ2IjoiMSJ9.OiMtNa75bH7cBxE3b9xBWvwJgshmlIJmyzquGkyg8pskscmVMONJe8XJftJMv4mcM9f19i-04HC6xBmf00GQHHp4Yn2YVvz9VNUI7YP11B_UY9eQstqQ4Fcv8rQcVCeCjBAQYhXxUTICztr4Nx0xJkXQvghLlWlO90dhNAhO6NYVSE0bgbF8E4_580XPav__-qvcabWDfjQpOy8M-p83Exq1TLwB_6fQk3tIMZsla7s.2jpRztcf7RR5vQZfiZJpR_QZUphoLlC68XJb7SLR4OI&dib_tag=se&keywords=laptop&qid=1725801825&sprefix=lapt%2Cspecialty-aps%2C243&sr=8-81
"Acer Predator Helios Neo 16 Gaming Laptop 14th Gen Intel Core i7 Processor (Windows 11 Home/16 GB/1 TB SSD/NVIDIA GeForce RTX 4060) PHN16-72 with 40.64 cm (16"") WQXGA Display  ","1,49,990",https://amazon.in//Acer-Predator-Processor-Windows-PHN16-72/dp/B0CXPXW4VY/ref=sr_1_82?crid=3LH7JI920TH09&dib=eyJ2IjoiMSJ9.OiMtNa75bH7cBxE3b9xBWvwJgshmlIJmyzquGkyg8pskscmVMONJe8XJftJMv4mcM9f19i-04HC6xBmf00GQHHp4Yn2YVvz9VNUI7YP11B_UY9eQstqQ4Fcv8rQcVCeCjBAQYhXxUTICztr4Nx0xJkXQvghLlWlO90dhNAhO6NYVSE0bgbF8E4_580XPav__-qvcabWDfjQpOy8M-p83Exq1TLwB_6fQk3tIMZsla7s.2jpRztcf7RR5vQZfiZJpR_QZUphoLlC68XJb7SLR4OI&dib_tag=se&keywords=laptop&qid=1725801825&sprefix=lapt%2Cspecialty-aps%2C243&sr=8-82
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","34,575",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CM6GVR56/ref=sr_1_83?crid=3LH7JI920TH09&dib=eyJ2IjoiMSJ9.OiMtNa75bH7cBxE3b9xBWvwJgshmlIJmyzquGkyg8pskscmVMONJe8XJftJMv4mcM9f19i-04HC6xBmf00GQHHp4Yn2YVvz9VNUI7YP11B_UY9eQstqQ4Fcv8rQcVCeCjBAQYhXxUTICztr4Nx0xJkXQvghLlWlO90dhNAhO6NYVSE0bgbF8E4_580XPav__-qvcabWDfjQpOy8M-p83Exq1TLwB_6fQk3tIMZsla7s.2jpRztcf7RR5vQZfiZJpR_QZUphoLlC68XJb7SLR4OI&dib_tag=se&keywords=laptop&qid=1725801825&sprefix=lapt%2Cspecialty-aps%2C243&sr=8-83
